T=0.5, Entropy = 481.8476491833216, Converged=True, damping=0.3, density N/V=1.0145649310923286, chemical potential=0
T=2.5999999999999996, Entropy = 118.21856962227434, Converged=True, damping=0.3, density N/V=0.766050552791627, chemical potential=0
T=2.6999999999999993, Entropy = 116.59789185789924, Converged=True, damping=0.3, density N/V=0.7588644148166274, chemical potential=0
T=2.7999999999999994, Entropy = 114.80973630955522, Converged=True, damping=0.3, density N/V=0.7452749525875838, chemical potential=0
T=2.8999999999999995, Entropy = 112.88743271984366, Converged=True, damping=0.3, density N/V=0.725451092286035, chemical potential=0
T=2.9999999999999996, Entropy = 111.77071505655901, Converged=True, damping=0.3, density N/V=0.7193581489635044, chemical potential=0
T=3.0999999999999996, Entropy = 110.19105158863826, Converged=True, damping=0.3, density N/V=0.7004965165070177, chemical potential=0
T=3.1999999999999993, Entropy = 109.31087338877465, Converged=True, damping=0.3, density N/V=0.6951406792847251, chemical potential=0
T=3.2999999999999994, Entropy = 108.25703410988183, Converged=True, damping=0.3, density N/V=0.6836616843100752, chemical potential=0
T=3.3999999999999995, Entropy = 107.30299649919323, Converged=True, damping=0.3, density N/V=0.6725935225742908, chemical potential=0
T=3.499999999999999, Entropy = 106.43771416001064, Converged=True, damping=0.3, density N/V=0.6619274260363136, chemical potential=0
T=3.599999999999999, Entropy = 105.65155153567277, Converged=True, damping=0.3, density N/V=0.6516535647637384, chemical potential=0
T=3.6999999999999993, Entropy = 104.9360792618933, Converged=True, damping=0.3, density N/V=0.6417614005730472, chemical potential=0
T=3.7999999999999994, Entropy = 104.28390251784259, Converged=True, damping=0.3, density N/V=0.6322399664807998, chemical potential=0
T=3.8999999999999995, Entropy = 103.68851656053734, Converged=True, damping=0.3, density N/V=0.6230780854893979, chemical potential=0
T=3.999999999999999, Entropy = 103.14418473264396, Converged=True, damping=0.3, density N/V=0.6142645408237789, chemical potential=0
T=4.1, Entropy = 102.48833512288076, Converged=True, damping=0.3, density N/V=0.5998814357776552, chemical potential=0
T=4.199999999999999, Entropy = 102.18897269735005, Converged=True, damping=0.3, density N/V=0.5976381504402583, chemical potential=0
T=4.299999999999999, Entropy = 101.6312340733601, Converged=True, damping=0.3, density N/V=0.5840370192234006, chemical potential=0
T=4.399999999999999, Entropy = 101.25474154805086, Converged=True, damping=0.3, density N/V=0.5765790116100933, chemical potential=0
T=4.499999999999999, Entropy = 101.02951431475968, Converged=True, damping=0.3, density N/V=0.5750406078209733, chemical potential=0
T=4.599999999999999, Entropy = 100.70278473744108, Converged=True, damping=0.3, density N/V=0.5680923783985719, chemical potential=0
T=4.699999999999999, Entropy = 100.40144641374016, Converged=True, damping=0.3, density N/V=0.5614206397803461, chemical potential=0
T=4.799999999999999, Entropy = 100.12321897096932, Converged=True, damping=0.3, density N/V=0.5550166242140968, chemical potential=0
T=4.899999999999999, Entropy = 99.77588332893197, Converged=True, damping=0.3, density N/V=0.5435329798244195, chemical potential=0
T=4.999999999999999, Entropy = 99.54483608529254, Converged=True, damping=0.3, density N/V=0.5377077057607516, chemical potential=0
T=5.099999999999999, Entropy = 99.33106273348916, Converged=True, damping=0.3, density N/V=0.5321232559029269, chemical potential=0
T=5.199999999999999, Entropy = 99.20331494913042, Converged=True, damping=0.3, density N/V=0.5319177812119167, chemical potential=0
T=5.299999999999999, Entropy = 99.01361450223116, Converged=True, damping=0.3, density N/V=0.5267364491434026, chemical potential=0
T=5.399999999999999, Entropy = 98.83734694829171, Converged=True, damping=0.3, density N/V=0.5217799441386454, chemical potential=0
T=5.499999999999999, Entropy = 98.67338598895827, Converged=True, damping=0.3, density N/V=0.5170431761626963, chemical potential=0
T=5.599999999999999, Entropy = 98.47393875371375, Converged=True, damping=0.3, density N/V=0.5075019729321718, chemical potential=0
T=5.699999999999999, Entropy = 98.37836845934619, Converged=True, damping=0.3, density N/V=0.5082139358689491, chemical potential=0
T=5.799999999999999, Entropy = 98.2455155324961, Converged=True, damping=0.3, density N/V=0.5041185664646791, chemical potential=0
T=5.899999999999999, Entropy = 98.1213547280117, Converged=True, damping=0.3, density N/V=0.5002398687422398, chemical potential=0
T=5.999999999999999, Entropy = 98.00514851005194, Converged=True, damping=0.3, density N/V=0.496589920410246, chemical potential=0
T=6.099999999999999, Entropy = 97.89619644863228, Converged=True, damping=0.3, density N/V=0.4931981451413767, chemical potential=0
T=6.199999999999998, Entropy = 97.79380533002266, Converged=False, damping=0.44999999999999996, density N/V=0.49013006754059363, chemical potential=0, Not Converged!
T=6.3, Entropy = 97.69723169234486, Converged=True, damping=0.35, density N/V=0.4875470028209599, chemical potential=0
T=6.3999999999999995, Entropy = 97.60560452514667, Converged=True, damping=0.35, density N/V=0.4856601830289129, chemical potential=0
T=6.499999999999999, Entropy = 97.51799380780217, Converged=True, damping=0.35, density N/V=0.4844754637142639, chemical potential=0
T=6.599999999999999, Entropy = 97.43370148161314, Converged=True, damping=0.35, density N/V=0.48369888341588013, chemical potential=0
T=6.699999999999998, Entropy = 97.35233226354659, Converged=True, damping=0.3, density N/V=0.4831034488237002, chemical potential=0
T=6.799999999999998, Entropy = 97.27365200090568, Converged=True, damping=0.3, density N/V=0.48259283693238936, chemical potential=0
T=6.899999999999998, Entropy = 97.19749363262925, Converged=True, damping=0.3, density N/V=0.48212898963806083, chemical potential=0
T=6.999999999999997, Entropy = 97.1237209254017, Converged=True, damping=0.3, density N/V=0.48169536497469945, chemical potential=0
T=7.099999999999997, Entropy = 97.05221481665767, Converged=True, damping=0.3, density N/V=0.48128385984962513, chemical potential=0
T=7.199999999999997, Entropy = 96.98286763954675, Converged=True, damping=0.3, density N/V=0.4808900378086282, chemical potential=0
T=7.299999999999996, Entropy = 96.91558031286705, Converged=True, damping=0.3, density N/V=0.48051121824602205, chemical potential=0
T=7.399999999999996, Entropy = 96.85026077334038, Converged=True, damping=0.3, density N/V=0.48014563570820834, chemical potential=0
T=7.499999999999996, Entropy = 96.78682298632249, Converged=True, damping=0.3, density N/V=0.47979203800531695, chemical potential=0
T=7.599999999999995, Entropy = 96.72518625362798, Converged=True, damping=0.3, density N/V=0.4794494799634826, chemical potential=0
T=7.699999999999995, Entropy = 96.66527468865014, Converged=True, damping=0.3, density N/V=0.47911721096794835, chemical potential=0
T=7.7999999999999945, Entropy = 96.60701679407745, Converged=True, damping=0.3, density N/V=0.4787946101676023, chemical potential=0
T=7.899999999999994, Entropy = 96.55034510769076, Converged=True, damping=0.3, density N/V=0.4784811477122003, chemical potential=0
T=7.999999999999994, Entropy = 96.49519589652314, Converged=True, damping=0.3, density N/V=0.47817636016157394, chemical potential=0
T=8.099999999999994, Entropy = 96.44150888746051, Converged=True, damping=0.3, density N/V=0.47787983456345234, chemical potential=0
T=8.199999999999992, Entropy = 96.38922702661482, Converged=True, damping=0.3, density N/V=0.47759119765738245, chemical potential=0
T=8.299999999999994, Entropy = 96.33829626226847, Converged=True, damping=0.3, density N/V=0.47731010845327315, chemical potential=0
T=8.399999999999991, Entropy = 96.28866534766718, Converged=True, damping=0.3, density N/V=0.4770362526048259, chemical potential=0
T=8.499999999999993, Entropy = 96.24028566090021, Converged=True, damping=0.3, density N/V=0.4767693386719009, chemical potential=0
T=8.59999999999999, Entropy = 96.1931110397025, Converged=True, damping=0.3, density N/V=0.47650909486849846, chemical potential=0
T=8.699999999999992, Entropy = 96.14709762946262, Converged=True, damping=0.3, density N/V=0.47625526677979774, chemical potential=0
T=8.79999999999999, Entropy = 96.10220374301502, Converged=True, damping=0.3, density N/V=0.4760076154512881, chemical potential=0
T=8.899999999999991, Entropy = 96.05838973101072, Converged=True, damping=0.3, density N/V=0.47576591585868566, chemical potential=0
T=8.99999999999999, Entropy = 96.01561786186039, Converged=True, damping=0.3, density N/V=0.4755299555773602, chemical potential=0
T=9.09999999999999, Entropy = 95.9738522103476, Converged=True, damping=0.3, density N/V=0.4752995337812679, chemical potential=0
T=9.199999999999989, Entropy = 95.93305855413975, Converged=True, damping=0.3, density N/V=0.47507446025557665, chemical potential=0
T=9.29999999999999, Entropy = 95.89320427751602, Converged=True, damping=0.3, density N/V=0.4748545546635349, chemical potential=0
T=9.399999999999988, Entropy = 95.85425828168928, Converged=True, damping=0.3, density N/V=0.4746396457202589, chemical potential=0
T=9.49999999999999, Entropy = 95.81619090117789, Converged=True, damping=0.3, density N/V=0.47442957072497477, chemical potential=0
T=9.599999999999987, Entropy = 95.77897382574609, Converged=True, damping=0.3, density N/V=0.474224174883751, chemical potential=0
T=9.699999999999989, Entropy = 95.7425800274493, Converged=True, damping=0.3, density N/V=0.4740233108708897, chemical potential=0
T=9.799999999999986, Entropy = 95.70698369240408, Converged=True, damping=0.3, density N/V=0.4738268383271375, chemical potential=0
