T=0.5, Entropy = 481.8476491833216, Converged=True, damping=0.3, density N/V=1.0145649310923286, chemical potential=0
T=0.6, Entropy = 403.17848757272685, Converged=True, damping=0.3, density N/V=1.0200342883075033, chemical potential=0
T=0.7, Entropy = 346.06743218787796, Converged=True, damping=0.3, density N/V=1.0163404596160317, chemical potential=0
T=0.7999999999999999, Entropy = 302.2986668398057, Converged=True, damping=0.3, density N/V=1.0044432981643738, chemical potential=0
T=0.8999999999999999, Entropy = 270.61734803783594, Converged=True, damping=0.3, density N/V=1.0049268634124697, chemical potential=0
T=0.9999999999999999, Entropy = 217.5253174862377, Converged=False, damping=0.44999999999999996, density N/V=0.9210043948118594, chemical potential=0, Not Converged!
T=1.0999999999999999, Entropy = 223.61890956081112, Converged=True, damping=0.3, density N/V=0.9879363247739277, chemical potential=0
T=1.1999999999999997, Entropy = 205.50882803283758, Converged=True, damping=0.3, density N/V=0.9705665307569378, chemical potential=0
T=1.2999999999999998, Entropy = 191.2837900904581, Converged=True, damping=0.3, density N/V=0.9588170326286555, chemical potential=0
T=1.4, Entropy = 180.15387599803728, Converged=True, damping=0.3, density N/V=0.9530493548133989, chemical potential=0
T=1.4999999999999998, Entropy = 170.02795644348643, Converged=True, damping=0.3, density N/V=0.9394206337898742, chemical potential=0
T=1.5999999999999996, Entropy = 160.70820189928483, Converged=True, damping=0.3, density N/V=0.9179567113810649, chemical potential=0
T=1.6999999999999997, Entropy = 153.3600746452509, Converged=True, damping=0.3, density N/V=0.9030225895768146, chemical potential=0
T=1.7999999999999998, Entropy = 147.64373961089947, Converged=True, damping=0.3, density N/V=0.8948150275680395, chemical potential=0
T=1.8999999999999997, Entropy = 141.55188751007984, Converged=True, damping=0.3, density N/V=0.8721583279468462, chemical potential=0
T=1.9999999999999996, Entropy = 137.33021515263775, Converged=True, damping=0.3, density N/V=0.8635803540471972, chemical potential=0
T=2.0999999999999996, Entropy = 133.13928520427874, Converged=True, damping=0.3, density N/V=0.8479262445934315, chemical potential=0
T=2.1999999999999997, Entropy = 129.46450829629515, Converged=True, damping=0.3, density N/V=0.8323900290114525, chemical potential=0
T=2.3, Entropy = 125.77728675610078, Converged=True, damping=0.3, density N/V=0.8101037499217202, chemical potential=0
T=2.3999999999999995, Entropy = 122.94774843676146, Converged=True, damping=0.3, density N/V=0.7950832430896084, chemical potential=0
T=2.4999999999999996, Entropy = 120.846447986378, Converged=True, damping=0.3, density N/V=0.7872455741842393, chemical potential=0
